o_zone_id,d_zone_id,volume
1,5,1.414000
1,7,1.199000
1,8,1.141000
1,11,1.761000
1,12,1.646000
1,13,1.375000
1,16,1.183000
1,176,2.437000
1,177,1.117000
1,467,1.130000
1,469,1.181000
1,479,4.887000
1,480,6.007000
1,513,1.638000
1,514,2.855000
2,3,1.038000
2,4,1.189000
2,5,6.615000
2,6,4.101000
2,7,6.900000
2,8,5.891000
2,9,3.830000
2,10,5.458000
2,11,12.417000
2,12,9.055000
2,13,8.775000
2,14,5.455000
2,15,7.235000
2,16,7.283000
2,17,2.275000
2,35,1.384000
2,37,3.418000
2,38,1.811000
2,39,3.118000
2,40,1.971000
2,41,2.050000
2,43,2.503000
2,46,3.194000
2,47,1.992000
2,48,2.658000
2,49,2.615000
2,50,1.011000
2,51,1.412000
2,83,1.881000
2,84,2.621000
2,86,1.552000
2,87,3.161000
2,94,5.995000
2,95,3.322000
2,99,1.292000
2,101,1.651000
2,102,2.990000
2,104,3.863000
2,105,1.829000
2,106,1.334000
2,107,1.997000
2,108,1.728000
2,109,1.098000
2,110,3.689000
2,111,1.588000
2,112,2.274000
2,114,4.243000
2,115,4.719000
2,116,4.317000
2,117,2.027000
2,118,4.392000
2,119,3.232000
2,120,5.841000
2,121,3.568000
2,122,3.483000
2,123,3.877000
2,132,2.436000
2,133,1.979000
2,134,1.112000
2,136,1.714000
2,137,2.844000
2,138,2.042000
2,139,4.664000
2,142,1.505000
2,143,2.778000
2,144,2.448000
2,145,2.266000
2,146,1.688000
2,147,4.015000
2,148,1.048000
2,150,2.060000
2,152,2.570000
2,153,2.744000
2,154,4.461000
2,161,1.515000
2,163,1.237000
2,164,2.023000
2,169,1.020000
2,170,3.058000
2,171,1.364000
2,172,1.278000
2,176,10.423000
2,177,4.717000
2,179,5.106000
2,180,2.431000
2,182,1.110000
2,183,1.247000
2,184,1.961000
2,185,4.319000
2,190,3.179000
2,192,2.486000
2,198,1.452000
2,202,1.864000
2,203,2.491000
2,205,1.835000
2,206,1.399000
2,207,1.088000
2,217,9.010000
2,220,1.242000
2,226,5.017000
2,227,2.715000
2,229,2.684000
2,232,1.067000
2,234,1.292000
2,236,1.234000
2,237,1.108000
2,239,1.472000
2,244,1.200000
2,259,1.066000
2,260,1.371000
2,262,1.509000
2,273,1.696000
2,276,1.041000
2,277,1.092000
2,278,1.443000
2,279,1.446000
2,280,1.302000
2,282,1.033000
2,297,1.285000
2,301,1.114000
2,304,1.361000
2,308,1.550000
2,313,1.503000
2,321,1.393000
2,333,1.631000
2,334,1.212000
2,340,1.121000
2,343,1.075000
2,346,1.035000
2,365,1.804000
2,368,1.113000
2,373,1.071000
2,382,1.484000
2,383,1.133000
2,392,1.024000
2,393,1.065000
2,394,1.038000
2,401,1.223000
2,431,1.145000
2,436,1.007000
2,438,1.430000
2,439,1.285000
2,441,1.146000
2,442,1.000000
2,445,2.494000
2,448,1.685000
2,460,3.271000
2,464,2.217000
2,466,1.275000
2,467,2.393000
2,468,2.771000
2,469,3.693000
2,476,2.493000
2,477,1.086000
2,478,1.528000
2,479,1.277000
2,480,3.087000
2,483,1.299000
2,484,1.298000
2,486,1.255000
2,487,1.225000
2,488,1.299000
2,491,1.529000
2,492,2.145000
2,493,1.098000
2,494,1.813000
2,495,1.701000
2,497,1.895000
2,500,2.436000
2,501,1.059000
2,503,1.487000
2,506,2.116000
2,508,2.222000
2,509,4.297000
2,510,3.636000
2,512,1.637000
2,514,1.648000
2,516,1.536000
2,542,1.138000
3,2,1.020000
3,5,2.259000
3,6,1.119000
3,7,1.832000
3,8,1.293000
3,9,1.091000
3,10,1.204000
3,11,2.182000
3,12,1.989000
3,13,1.945000
3,14,1.108000
3,15,1.522000
3,16,1.953000
3,37,1.339000
3,39,1.256000
3,43,1.855000
3,48,1.066000
3,154,1.084000
3,185,1.064000
3,460,2.167000
3,462,1.651000
3,464,1.830000
3,466,1.027000
3,467,1.188000
3,468,1.003000
3,469,1.427000
3,509,1.038000
3,513,2.206000
3,514,6.032000
3,515,2.645000
3,757,1.567000
4,2,1.196000
4,5,1.112000
4,7,1.163000
4,11,2.056000
4,12,1.108000
4,13,1.075000
4,16,1.180000
4,43,1.175000
4,752,1.012000
4,757,1.027000
5,1,1.500000
5,2,6.525000
5,3,2.250000
5,4,1.055000
5,6,1.768000
5,7,4.182000
5,8,2.439000
5,9,2.787000
5,10,4.636000
5,11,8.627000
5,12,4.742000
5,13,4.527000
5,14,3.258000
5,15,4.327000
5,16,3.995000
5,17,3.819000
5,18,1.396000
5,35,1.005000
5,37,1.639000
5,38,1.332000
5,39,1.562000
5,40,1.262000
5,43,1.352000
5,44,1.118000
5,46,2.080000
5,47,1.219000
5,48,1.707000
5,49,1.278000
5,87,1.504000
5,90,1.113000
5,91,1.065000
5,94,2.495000
5,95,1.997000
5,97,1.076000
5,102,1.320000
